10th,2nd,3rd,4th,5th,6th,7th,8th,9th,Agency,Component,Oldest Request,Unnamed: 1,Year
,17,17,,,,,,,Treasury,IRS,20,Number of Days Pending,2012
,2012-08-29,2012-09-18,2012-09-20,2012-09-21,2012-09-21,,,,U.S. DOL,OSHA,2012-08-27,Date of Receipt,2012
,21,8,6,5,5,,,,U.S. DOL,OSHA,23,Number of Days Pending,2012
,,,,,,,,,U.S. DOL,SOL,2010-06-24,Date of Receipt,2012
,,,,,,,,,U.S. DOL,SOL,560,Number of Days Pending,2012
,2011-08-30,2012-07-31,,,,,,,USAID,USAID,2011-08-15,Date of Receipt,2012
,272,42,,,,,,,USAID,USAID,283,Number of Days Pending,2012
,,,,,,,,,USDA,FAS,2012-09-19,Date of Receipt,2012
,,,,,,,,,USDA,FAS,7,Number of Days Pending,2012
,,,,,,,,,USDA,RD,2012-04-11,Date of Receipt,2012
,,,,,,,,,USDA,RD,119,Number of Days Pending,2012
,2011-07-12,2011-07-22,2011-09-16,2011-09-30,2012-05-14,2012-05-15,2012-08-03,,USTR,USTR,2011-04-27,Date of Receipt,2012
,444,434,378,364,137,136,56,,USTR,USTR,522,Number of Days Pending,2012
,,,,,,,,,VA,VHA,2012-09-20,Date of Receipt,2012
,,,,,,,,,VA,VHA,6,Number of Days Pending,2012
2013-01-29,2012-02-01,2012-02-08,2012-02-09,2012-04-09,2012-10-11,2012-11-09,2012-12-26,2013-01-23,CEQ,CEQ,2011-11-10,Date of Receipt,2013
311,674,667,666,606,421,392,345,317,CEQ,CEQ,757,Number of Days Pending,2013
2009-06-04,2007-02-09,2007-05-21,2007-05-21,2007-05-21,2008-04-07,2008-04-07,2008-04-07,2008-04-07,CIA,CIA,2006-08-10,Date of Receipt,2013
1579,2426,2325,2325,2325,2002,2002,2002,2002,CIA,CIA,2609,Number of Days Pending,2013
2013-06-10,2012-04-10,2012-05-31,2012-06-28,2012-12-13,2013-01-11,2013-02-21,2013-05-07,2013-05-22,DHS,CBP,2012-03-16,Date of Receipt,2013
79,372,336,316,201,182,155,102,91,DHS,CBP,389,Number of Days Pending,2013
,,,,,,,,,DHS,FEMA,2013-09-13,Date of Receipt,2013
,,,,,,,,,DHS,FEMA,12,Number of Days Pending,2013
2013-04-10,2013-02-14,2013-02-14,2013-02-14,2013-02-14,2013-03-22,2013-03-28,2013-04-04,2013-04-10,DHS,ICE,2012-11-02,Date of Receipt,2013
121,160,160,160,160,134,130,125,121,DHS,ICE,228,Number of Days Pending,2013
2013-09-16,2013-04-26,2013-06-11,2013-07-16,2013-08-01,2013-08-06,2013-08-09,2013-09-05,2013-09-11,DHS,PRIV,2013-03-26,Date of Receipt,2013
11,109,78,54,42,39,36,18,14,DHS,PRIV,132,Number of Days Pending,2013
2013-05-20,2010-06-15,2010-09-03,2010-10-28,2011-09-15,2011-09-16,2011-09-16,2012-03-30,2012-04-10,DHS,TSA,2009-12-16,Date of Receipt,2013
93,831,774,737,514,513,513,379,372,DHS,TSA,951,Number of Days Pending,2013
,2011-05-05,2012-01-26,,,,,,,DHS,USCG,2011-03-21,Date of Receipt,2013
,608,424,,,,,,,DHS,USCG,641,Number of Days Pending,2013
,,,,,,,,,DHS,USCIS,2013-05-08,Date of Receipt,2013
,,,,,,,,,DHS,USCIS,100,Number of Days Pending,2013
2013-06-20,2010-10-08,2010-10-08,2011-05-10,2012-12-14,2013-02-13,2013-03-19,2013-04-03,2013-06-06,DHS,USSS,2010-10-08,Date of Receipt,2013
71,750,750,605,200,161,137,126,81,DHS,USSS,750,Number of Days Pending,2013
,2013-05-29,2013-06-14,2013-07-26,2013-08-12,2013-08-22,,,,DOC,ITA,2013-03-22,Date of Receipt,2013
,89,76,47,36,28,,,,DOC,ITA,135,Number of Days Pending,2013
,,,,,,,,,DOC,NTIA,2013-09-20,Date of Receipt,2013
,,,,,,,,,DOC,NTIA,6,Number of Days Pending,2013
2012-10-24,2011-10-13,2011-11-14,2012-04-23,2012-08-24,2012-09-05,2012-09-07,2012-09-10,2012-09-28,DoD,AF,2010-12-15,Date of Receipt,2013
233,493,472,361,274,267,265,264,250,DoD,AF,701,Number of Days Pending,2013
2011-03-14,2011-01-19,2011-01-19,2011-01-19,2011-01-19,2011-01-19,2011-02-16,2011-02-25,2011-03-10,DoD,AFRICOM,2010-11-29,Date of Receipt,2013
642,679,679,679,679,679,659,653,644,DoD,AFRICOM,713,Number of Days Pending,2013
2008-06-17,2008-04-21,2008-06-16,2008-06-16,2008-06-17,2008-06-17,2008-06-17,2008-06-17,2008-06-17,DoD,ARMY,2008-02-19,Date of Receipt,2013
1327,1367,1328,1328,1327,1327,1327,1327,1327,DoD,ARMY,1411,Number of Days Pending,2013
2013-04-03,2012-05-22,2012-06-15,2012-07-25,2012-10-01,2013-01-24,2013-02-08,2013-02-27,2013-03-01,DoD,CENTCOM,2012-04-12,Date of Receipt,2013
125,340,323,296,249,173,162,150,148,DoD,CENTCOM,368,Number of Days Pending,2013
2008-05-21,2006-06-02,2006-06-19,2006-08-01,2006-09-25,2006-11-13,2007-06-12,2007-08-24,2007-11-06,DoD,DIA,2006-04-05,Date of Receipt,2013
1345,1837,1826,1796,1758,1725,1581,1529,1479,DoD,DIA,1878,Number of Days Pending,2013
,2013-02-15,2013-04-11,,,,,,,DoD,DISA,2013-02-15,Date of Receipt,2013
,157,119,,,,,,,DoD,DISA,157,Number of Days Pending,2013
,,,,,,,,,DoD,DTRA,2013-09-04,Date of Receipt,2013
,,,,,,,,,DoD,DTRA,18,Number of Days Pending,2013
,2009-06-06,2009-06-16,2010-08-05,2011-01-05,2011-01-21,2013-03-28,2013-04-10,2013-08-09,DoD,EUCOM,2008-07-31,Date of Receipt,2013
,1083,1077,791,688,677,129,120,35,DoD,EUCOM,1296,Number of Days Pending,2013
2012-10-01,2010-05-10,2011-02-17,2011-05-11,2011-06-24,2012-01-12,2012-02-24,2012-05-04,2012-06-07,DoD,NAVY,2010-04-29,Date of Receipt,2013
249,852,658,600,569,431,402,352,329,DoD,NAVY,859,Number of Days Pending,2013
2012-12-03,2011-09-20,2011-12-29,2011-12-29,2012-03-20,2012-06-13,2012-06-20,2012-11-30,2012-12-03,DoD,NGA,2011-07-14,Date of Receipt,2013
207,509,440,440,385,325,320,208,207,DoD,NGA,556,Number of Days Pending,2013
,2013-04-16,,,,,,,,DoD,NORTHCOM,2012-03-20,Date of Receipt,2013
,0,,,,,,,,DoD,NORTHCOM,0,Number of Days Pending,2013
2013-05-31,2013-01-15,2013-01-31,2013-02-22,2013-04-20,2013-04-30,2013-04-30,2013-05-17,2013-05-31,DoD,NRO,2012-06-14,Date of Receipt,2013
84,179,168,153,112,106,106,93,84,DoD,NRO,324,Number of Days Pending,2013
2010-11-19,2009-07-28,2010-10-07,2010-10-20,2010-11-19,2010-11-19,2010-11-19,2010-11-19,2010-11-19,DoD,NSA,2008-09-12,Date of Receipt,2013
718,1048,747,739,718,718,718,718,718,DoD,NSA,1266,Number of Days Pending,2013
2006-08-23,2004-08-25,2004-08-31,2004-10-06,2004-12-16,2004-12-29,2005-06-30,2005-10-20,2006-07-25,DoD,OSD/JS,2004-07-08,Date of Receipt,2013
1780,2280,2276,2251,2203,2195,2068,1991,1801,DoD,OSD/JS,2314,Number of Days Pending,2013
2013-08-20,2009-08-03,2009-08-27,2013-02-11,2013-03-18,2013-03-20,2013-03-27,2013-04-26,2013-06-27,DoD,PACOM,2009-01-20,Date of Receipt,2013
28,1044,1026,161,137,135,130,108,65,DoD,PACOM,1179,Number of Days Pending,2013
2012-07-18,2010-11-23,2011-01-04,2011-05-03,2011-08-18,2011-09-13,2011-12-15,2011-12-21,2012-07-12,DoD,SOCOM,2007-06-20,Date of Receipt,2013
301,716,689,606,531,514,450,446,305,DoD,SOCOM,1575,Number of Days Pending,2013
2013-04-23,2011-01-01,2011-11-02,2012-07-24,2012-08-01,2012-08-01,2012-10-23,2013-04-11,2013-04-23,DoD,SOUTHCOM,2010-03-03,Date of Receipt,2013
111,690,479,297,291,291,234,119,111,DoD,SOUTHCOM,900,Number of Days Pending,2013
,2013-04-09,2013-05-23,2013-07-31,2013-09-06,,,,,DoD,STRATCOM,2012-12-18,Date of Receipt,2013
,121,89,42,16,,,,,DoD,STRATCOM,196,Number of Days Pending,2013
,,,,,,,,,DoD,TRANSCOM,2012-06-21,Date of Receipt,2013
,,,,,,,,,DoD,TRANSCOM,319,Number of Days Pending,2013
,,,,,,,,,DoD,TRICARE,2013-07-08,Date of Receipt,2013
,,,,,,,,,DoD,TRICARE,59,Number of Days Pending,2013
,,,,,,,,,DOE,BPA,2013-07-22,Date of Receipt,2013
,,,,,,,,,DOE,BPA,49,Number of Days Pending,2013
2011-10-04,2010-08-27,2011-04-08,2011-06-01,2011-07-11,2011-08-04,2011-08-04,2011-08-04,2011-10-04,DOE,HQ,2010-07-14,Date of Receipt,2013
499,775,623,586,559,541,541,541,499,DOE,HQ,807,Number of Days Pending,2013
2012-10-10,2012-04-25,2012-04-26,2012-05-31,2012-06-14,2012-07-16,2012-07-16,2012-07-16,2012-07-17,DOE,NNSA,2012-04-24,Date of Receipt,2013
244,360,359,335,325,304,304,304,303,DOE,NNSA,361,Number of Days Pending,2013
,,,,,,,,,DOE,ORO,2013-09-20,Date of Receipt,2013
,,,,,,,,,DOE,ORO,6,Number of Days Pending,2013
,,,,,,,,,DOE,SRO,2013-04-19,Date of Receipt,2013
,,,,,,,,,DOE,SRO,113,Number of Days Pending,2013
,,,,,,,,,DOI,OS,2013-09-26,Date of Receipt,2013
,,,,,,,,,DOI,OS,2,Number of Days Pending,2013
,,,,,,,,,DOJ,Office of the AG,2013-07-29,Date of Receipt,2013
,,,,,,,,,DOJ,Office of the AG,44,Number of Days Pending,2013
,,,,,,,,,DOJ,Office of the DAG,2013-07-29,Date of Receipt,2013
,,,,,,,,,DOJ,Office of the DAG,44,Number of Days Pending,2013
,2012-08-17,,,,,,,,DOJ,Civil,2011-08-03,Date of Receipt,2013
,279,,,,,,,,DOJ,Civil,541,Number of Days Pending,2013
2013-03-12,2012-08-30,2012-10-01,2012-10-09,2013-02-25,2013-02-26,2013-03-05,2013-03-05,2013-03-05,DOJ,Criminal,2012-08-28,Date of Receipt,2013
141,270,249,244,152,151,146,146,146,DOJ,Criminal,272,Number of Days Pending,2013
2013-09-27,2013-07-31,2013-08-05,2013-08-20,2013-08-26,2013-09-10,2013-09-23,2013-09-27,2013-09-27,DOJ,DEA,2013-05-28,Date of Receipt,2013
1,42,39,28,24,14,5,1,1,DOJ,DEA,87,Number of Days Pending,2013
,,,,,,,,,DOJ,ENRD,2013-09-18,Date of Receipt,2013
,,,,,,,,,DOJ,ENRD,8,Number of Days Pending,2013
,2013-03-15,2013-04-11,2013-04-17,2013-06-06,2013-08-15,2013-08-16,2013-08-26,2013-09-09,DOJ,EOUSA,2013-02-27,Date of Receipt,2013
,138,119,115,80,31,30,24,15,DOJ,EOUSA,150,Number of Days Pending,2013
2012-06-13,2011-12-22,2011-12-22,2012-01-24,2012-03-05,2012-03-05,2012-03-06,2012-04-03,2012-05-07,DOJ,FBI,2011-12-22,Date of Receipt,2013
325,444,444,424,396,396,395,375,351,DOJ,FBI,444,Number of Days Pending,2013
,2013-09-19,,,,,,,,DOJ,OIP,2013-08-21,Date of Receipt,2013
,7,,,,,,,,DOJ,OIP,27,Number of Days Pending,2013
,,,,,,,,,DOJ,OJP,2013-06-20,Date of Receipt,2013
,,,,,,,,,DOJ,OJP,70,Number of Days Pending,2013
,2013-08-21,,,,,,,,DOJ,OSG,2013-03-05,Date of Receipt,2013
,27,,,,,,,,DOJ,OSG,146,Number of Days Pending,2013
,2013-09-13,,,,,,,,DOT,OIG,2013-03-12,Date of Receipt,2013
,11,,,,,,,,DOT,OIG,141,Number of Days Pending,2013
,,,,,,,,,DOT,PHMSA,2012-04-20,Date of Receipt,2013
,,,,,,,,,DOT,PHMSA,363,Number of Days Pending,2013
,2013-06-18,2013-07-02,2013-09-25,,,,,,EPA,HQ,2013-06-06,Date of Receipt,2013
,72,62,3,,,,,,EPA,HQ,80,Number of Days Pending,2013
,,,,,,,,,FDIC,FDIC,2013-08-19,Date of Receipt,2013
,,,,,,,,,FDIC,FDIC,29,Number of Days Pending,2013
,2013-05-31,,,,,,,,FRB,FRB,2012-12-12,Date of Receipt,2013
,84,,,,,,,,FRB,FRB,199,Number of Days Pending,2013
,,,,,,,,,NASA,HQ,2013-02-05,Date of Receipt,2013
,,,,,,,,,NASA,HQ,165,Number of Days Pending,2013
,2013-09-25,,,,,,,,OMB,OMB,2013-09-23,Date of Receipt,2013
,3,,,,,,,,OMB,OMB,5,Number of Days Pending,2013
,,,,,,,,,PC,FOIA Office,2013-04-04,Date of Receipt,2013
,,,,,,,,,PC,FOIA Office,125,Number of Days Pending,2013
2008-06-30,2007-07-23,2007-08-06,2007-08-16,2007-08-29,2007-10-24,2008-04-16,2008-05-23,2008-06-11,State,DoS,2007-06-18,Date of Receipt,2013
1370,1616,1606,1599,1589,1549,1424,1398,1384,State,DoS,1641,Number of Days Pending,2013
2013-04-30,2012-01-25,2012-09-28,2012-10-10,2012-10-23,2012-12-27,2013-01-23,2013-02-06,2013-03-20,Treasury,DO,2011-08-23,Date of Receipt,2013
111,429,278,254,245,196,179,169,140,Treasury,DO,533,Number of Days Pending,2013
,2013-09-09,2013-09-09,2013-09-26,2013-09-27,,,,,Treasury,FMS,2013-09-05,Date of Receipt,2013
,15,15,2,1,,,,,Treasury,FMS,17,Number of Days Pending,2013
2013-08-30,2013-07-01,2013-07-10,2013-07-25,2013-08-01,2013-08-01,2013-08-08,2013-08-21,2013-08-29,Treasury,IRS,2013-06-26,Date of Receipt,2013
20,63,57,46,41,41,36,27,21,Treasury,IRS,67,Number of Days Pending,2013
,,,,,,,,,TVA,TVA,2013-09-10,Date of Receipt,2013
,,,,,,,,,TVA,TVA,14,Number of Days Pending,2013
,,,,,,,,,U.S. DOL,OSHA,2013-09-13,Date of Receipt,2013
,,,,,,,,,U.S. DOL,OSHA,12,Number of Days Pending,2013
,2013-09-08,,,,,,,,U.S. DOL,VETS,2013-07-12,Date of Receipt,2013
,17,,,,,,,,U.S. DOL,VETS,56,Number of Days Pending,2013
,,,,,,,,,U.S. DOL,WHD,2013-04-25,Date of Receipt,2013
,,,,,,,,,U.S. DOL,WHD,110,Number of Days Pending,2013
,2013-03-14,2013-04-12,2013-05-06,2013-07-08,2013-07-17,2013-08-26,2013-08-27,,USAID,USAID,2013-01-25,Date of Receipt,2013
,139,118,102,59,52,24,23,,USAID,USAID,172,Number of Days Pending,2013
,2012-06-27,2013-08-14,,,,,,,USDA,FS,2011-09-29,Date of Receipt,2013
,314,32,,,,,,,USDA,FS,500,Number of Days Pending,2013
,2013-01-25,,,,,,,,USDA,FSA,2012-08-30,Date of Receipt,2013
,173,,,,,,,,USDA,FSA,272,Number of Days Pending,2013
,,,,,,,,,USDA,RD,2012-04-11,Date of Receipt,2013
,,,,,,,,,USDA,RD,368,Number of Days Pending,2013
,,,,,,,,,USITC,USITC,2013-08-12,Date of Receipt,2013
,,,,,,,,,USITC,USITC,34,Number of Days Pending,2013
,2013-09-19,,,,,,,,USNRC,USNRC,2013-09-06,Date of Receipt,2013
,7,,,,,,,,USNRC,USNRC,16,Number of Days Pending,2013
,2013-09-27,,,,,,,,USPS,PIS,2013-09-18,Date of Receipt,2013
,1,,,,,,,,USPS,PIS,8,Number of Days Pending,2013
,2011-09-30,2012-08-03,2013-03-08,2013-09-26,,,,,USTR,USTR,2011-09-16,Date of Receipt,2013
,521,301,146,2,,,,,USTR,USTR,531,Number of Days Pending,2013
,2012-10-11,2012-11-09,2013-05-17,2014-05-22,,,,,CEQ,CEQ,2010-02-03,Date of Receipt,2014
,539,518,389,135,,,,,CEQ,CEQ,1215,Number of Days Pending,2014
2010-10-19,2007-05-21,2007-05-21,2008-04-04,2008-04-04,2008-04-04,2008-04-04,2009-06-04,2010-03-18,CIA,CIA,2007-05-21,Date of Receipt,2014
1443,2690,2690,2371,2371,2371,2371,1945,1658,CIA,CIA,2690,Number of Days Pending,2014
2013-05-22,2012-04-10,2012-05-31,2012-06-28,2012-12-06,2013-02-21,2013-02-21,2013-04-04,2013-04-15,DHS,CBP,2012-03-16,Date of Receipt,2014
349,630,594,574,464,413,413,383,376,DHS,CBP,647,Number of Days Pending,2014
,,,,,,,,,DHS,FEMA,2014-03-18,Date of Receipt,2014
,,,,,,,,,DHS,FEMA,168,Number of Days Pending,2014
,2014-08-12,2014-08-12,2014-08-26,2014-08-26,2014-09-03,,,,DHS,I&A,2014-07-14,Date of Receipt,2014
,36,36,26,26,20,,,,DHS,I&A,57,Number of Days Pending,2014
2013-06-24,2013-02-14,2013-04-10,2013-04-10,2013-04-10,2013-04-10,2013-06-24,2013-06-24,2013-06-24,DHS,ICE,2013-02-14,Date of Receipt,2014
320,410,372,372,372,372,320,320,320,DHS,ICE,410,Number of Days Pending,2014
,,,,,,,,,DHS,OIG,2014-02-21,Date of Receipt,2014
,,,,,,,,,DHS,OIG,157,Number of Days Pending,2014
,2013-08-06,2013-11-25,2014-07-24,2014-08-07,,,,,DHS,PRIV,2013-08-01,Date of Receipt,2014
,289,214,48,38,,,,,DHS,PRIV,292,Number of Days Pending,2014
2014-06-16,2010-10-28,2012-04-12,2012-08-06,2013-06-26,2013-08-20,2013-10-18,2014-02-25,2014-03-11,DHS,TSA,2010-09-03,Date of Receipt,2014
74,971,609,527,305,267,237,152,145,DHS,TSA,1008,Number of Days Pending,2014
2014-04-29,2011-05-05,2013-06-20,2013-11-07,2013-12-23,2014-01-05,2014-03-25,2014-03-31,2014-04-02,DHS,USCG,2011-03-21,Date of Receipt,2014
112,866,329,232,202,185,136,132,130,DHS,USCG,899,Number of Days Pending,2014
,2014-09-26,,,,,,,,DHS,USCIS,2013-10-31,Date of Receipt,2014
,3,,,,,,,,DHS,USCIS,237,Number of Days Pending,2014
2014-04-11,2013-02-13,2013-04-03,2013-09-03,2013-12-12,2013-12-30,2014-02-03,2014-03-06,2014-03-25,DHS,USSS,2012-12-14,Date of Receipt,2014
123,419,384,277,209,197,172,149,136,DHS,USSS,458,Number of Days Pending,2014
2014-04-29,2013-07-26,2013-08-12,2013-08-22,2013-11-15,2013-12-19,2013-12-19,2013-12-19,2014-04-17,DOC,ITA,2013-05-29,Date of Receipt,2014
108,298,289,279,220,197,197,197,116,DOC,ITA,339,Number of Days Pending,2014
,,,,,,,,,DOC,NOAA,2014-09-16,Date of Receipt,2014
,,,,,,,,,DOC,NOAA,10,Number of Days Pending,2014
,,,,,,,,,DOC,NTIA,2012-09-20,Date of Receipt,2014
,,,,,,,,,DOC,NTIA,0,Number of Days Pending,2014
2013-07-16,2012-04-23,2012-08-24,2012-09-10,2013-01-17,2013-03-01,2013-03-13,2013-07-11,2013-07-16,DoD,AF,2011-10-13,Date of Receipt,2014
304,612,525,515,428,399,391,307,304,DoD,AF,744,Number of Days Pending,2014
2012-01-05,2011-01-19,2011-01-19,2011-02-16,2011-02-25,2011-03-10,2011-03-14,2011-11-29,2012-01-05,DoD,AFRICOM,2011-01-19,Date of Receipt,2014
687,930,930,910,904,895,893,713,687,DoD,AFRICOM,930,Number of Days Pending,2014
2008-06-17,2008-04-21,2008-06-16,2008-06-16,2008-06-17,2008-06-17,2008-06-17,2008-06-17,2008-06-17,DoD,ARMY,2008-02-19,Date of Receipt,2014
1578,1618,1579,1579,1578,1578,1578,1578,1578,DoD,ARMY,1662,Number of Days Pending,2014
2013-04-12,2011-08-16,2011-10-14,2012-06-11,2012-07-26,2012-08-27,2013-02-08,2013-02-27,2013-04-04,DoD,CENTCOM,2005-08-16,Date of Receipt,2014
369,784,743,578,546,524,413,401,375,DoD,CENTCOM,2287,Number of Days Pending,2014
2010-01-15,2006-09-25,2008-07-22,2008-11-19,2008-12-12,2009-02-02,2009-02-25,2009-03-10,2009-07-21,DoD,DIA,2006-04-05,Date of Receipt,2014
1182,2009,1554,1471,1454,1422,1406,1397,1304,DoD,DIA,2129,Number of Days Pending,2014
,2013-02-05,2013-04-11,2014-05-20,2014-07-22,,,,,DoD,DISA,2013-02-05,Date of Receipt,2014
,416,370,92,49,,,,,DoD,DISA,416,Number of Days Pending,2014
,,,,,,,,,DoD,DoD IG,2014-09-30,Date of Receipt,2014
,,,,,,,,,DoD,DoD IG,1,Number of Days Pending,2014
,2014-08-06,2014-08-12,,,,,,,DoD,DTRA,2014-03-21,Date of Receipt,2014
,38,34,,,,,,,DoD,DTRA,134,Number of Days Pending,2014
,2011-01-05,2013-04-10,2014-08-26,,,,,,DoD,EUCOM,2010-08-05,Date of Receipt,2014
,939,371,24,,,,,,DoD,EUCOM,1042,Number of Days Pending,2014
2012-10-10,2009-11-09,2010-10-04,2011-05-05,2011-06-24,2011-09-16,2011-09-21,2012-07-26,2012-10-01,DoD,NAVY,2008-11-13,Date of Receipt,2014
494,1227,1001,855,820,762,759,546,500,DoD,NAVY,1475,Number of Days Pending,2014
2014-05-12,2014-03-24,2014-03-24,2014-03-27,2014-04-03,2014-04-08,2014-04-08,2014-05-08,2014-05-12,DoD,NGA,2013-08-26,Date of Receipt,2014
98,133,133,130,125,122,122,100,98,DoD,NGA,275,Number of Days Pending,2014
,,,,,,,,,DoD,NGB,2014-07-18,Date of Receipt,2014
,,,,,,,,,DoD,NGB,51,Number of Days Pending,2014
,2013-04-16,,,,,,,,DoD,NORTHCOM,2012-03-20,Date of Receipt,2014
,367,,,,,,,,DoD,NORTHCOM,636,Number of Days Pending,2014
2014-03-31,2013-11-18,2013-12-18,2014-01-08,2014-01-23,2014-02-04,2014-02-24,2014-02-25,2014-03-13,DoD,NRO,2013-11-13,Date of Receipt,2014
128,218,197,184,174,166,153,152,140,DoD,NRO,222,Number of Days Pending,2014
2011-01-07,2010-11-19,2010-11-19,2010-11-19,2010-11-19,2010-11-19,2010-11-19,2010-11-19,2010-12-21,DoD,NSA,2010-10-07,Date of Receipt,2014
937,969,969,969,969,969,969,969,948,DoD,NSA,1980,Number of Days Pending,2014
2008-01-24,2007-01-09,2007-02-27,2007-08-15,2007-08-17,2007-08-20,2007-10-10,2007-10-24,2007-12-05,DoD,OSD/JS,2006-11-06,Date of Receipt,2014
1679,1939,1906,1787,1785,1784,1749,1739,1711,DoD,OSD/JS,1980,Number of Days Pending,2014
,2009-08-03,2009-08-27,2013-02-11,2013-03-27,,,,,DoD,PACOM,2009-01-20,Date of Receipt,2014
,1295,1277,412,381,,,,,DoD,PACOM,1430,Number of Days Pending,2014
2012-12-12,2011-01-04,2011-08-18,2011-12-15,2011-12-21,2012-07-12,2012-07-18,2012-07-19,2012-10-12,DoD,SOCOM,2010-11-23,Date of Receipt,2014
451,940,782,701,697,556,552,551,453,DoD,SOCOM,967,Number of Days Pending,2014
2014-01-13,2012-10-23,2013-04-11,2013-04-23,2013-04-23,2013-04-26,2013-09-20,2013-10-17,2014-01-13,DoD,SOUTHCOM,2011-01-04,Date of Receipt,2014
181,485,370,362,362,359,257,239,181,DoD,SOUTHCOM,940,Number of Days Pending,2014
,2014-02-24,2014-04-04,2014-05-06,2014-08-15,2014-09-23,,,,DoD,STRATCOM,2013-09-06,Date of Receipt,2014
,153,124,102,31,5,,,,DoD,STRATCOM,267,Number of Days Pending,2014
,2014-01-09,2014-07-16,2014-08-20,2014-09-10,,,,,DoD,TRANSCOM,2012-06-21,Date of Receipt,2014
,183,53,28,14,,,,,DoD,TRANSCOM,570,Number of Days Pending,2014
,,,,,,,,,DOE,CH,2014-09-25,Date of Receipt,2014
,,,,,,,,,DOE,CH,3,Number of Days Pending,2014
2014-07-01,2014-03-27,2014-03-27,2014-04-03,2014-04-03,2014-04-14,2014-04-14,2014-04-15,2014-06-02,DOE,HQ,2014-03-24,Date of Receipt,2014
63,130,130,125,125,118,118,117,84,DOE,HQ,133,Number of Days Pending,2014
,2013-08-29,2014-02-03,,,,,,,DOE,NNSA,2012-06-14,Date of Receipt,2014
,272,167,,,,,,,DOE,NNSA,576,Number of Days Pending,2014
,2014-07-18,,,,,,,,DOE,SRO,2013-04-19,Date of Receipt,2014
,51,,,,,,,,DOE,SRO,364,Number of Days Pending,2014
,,,,,,,,,DOI,USGS,2014-09-29,Date of Receipt,2014
,,,,,,,,,DOI,USGS,1,Number of Days Pending,2014
,2014-09-24,,,,,,,,DOJ,Office of the AG,2014-09-19,Date of Receipt,2014
,0,,,,,,,,DOJ,Office of the AG,7,Number of Days Pending,2014
2014-07-22,2014-01-07,2014-01-14,2014-02-07,2014-03-12,2014-04-08,2014-04-15,2014-05-08,2014-06-24,DOJ,ATF,2013-12-13,Date of Receipt,2014
49,185,180,163,141,122,117,100,68,DOJ,ATF,200,Number of Days Pending,2014
2013-11-01,2013-07-22,2013-07-23,2013-07-23,2013-09-06,2013-10-17,2013-10-24,2013-10-25,2013-10-25,DOJ,Criminal,2013-04-24,Date of Receipt,2014
228,300,299,299,267,239,234,233,233,DOJ,Criminal,361,Number of Days Pending,2014
2014-09-03,2014-06-24,2014-06-25,2014-06-26,2014-07-11,2014-07-14,2014-08-13,2014-08-26,2014-08-29,DOJ,DEA,2014-04-15,Date of Receipt,2014
19,68,67,66,56,55,33,24,21,DOJ,DEA,117,Number of Days Pending,2014
2014-01-14,2013-10-31,2013-11-04,2013-11-19,2013-11-26,2013-12-05,2014-01-02,2014-01-14,2014-01-14,DOJ,EOUSA,2013-10-31,Date of Receipt,2014
180,229,227,217,212,206,188,180,180,DOJ,EOUSA,229,Number of Days Pending,2014
2013-10-21,2012-12-03,2012-12-05,2013-06-03,2013-06-14,2013-08-19,2013-08-20,2013-08-21,2013-09-03,DOJ,FBI,2012-11-14,Date of Receipt,2014
237,458,456,332,325,280,279,278,270,DOJ,FBI,470,Number of Days Pending,2014
,,,,,,,,,DOJ,OIP,2014-09-23,Date of Receipt,2014
,,,,,,,,,DOJ,OIP,5,Number of Days Pending,2014
,,,,,,,,,DOJ,OLA,2014-09-24,Date of Receipt,2014
,,,,,,,,,DOJ,OLA,4,Number of Days Pending,2014
,,,,,,,,,DOJ,Public Affairs,2014-06-03,Date of Receipt,2014
,,,,,,,,,DOJ,Public Affairs,83,Number of Days Pending,2014
,2014-04-16,2014-04-16,2014-04-18,,,,,,DOT,FAA,2014-04-16,Date of Receipt,2014
,114,114,114,,,,,,DOT,FAA,116,Number of Days Pending,2014
,,,,,,,,,DOT,OIG,2014-09-11,Date of Receipt,2014
,,,,,,,,,DOT,OIG,13,Number of Days Pending,2014
,2014-08-29,,,,,,,,FEC,FEC,2014-06-17,Date of Receipt,2014
,21,,,,,,,,FEC,FEC,73,Number of Days Pending,2014
,2014-02-20,2014-06-17,,,,,,,FRB,FRB,2013-05-31,Date of Receipt,2014
,154,74,,,,,,,FRB,FRB,332,Number of Days Pending,2014
,,,,,,,,,HUD,R04,2014-07-25,Date of Receipt,2014
,,,,,,,,,HUD,R04,46,Number of Days Pending,2014
,2014-09-30,,,,,,,,NASA,HQ,2014-07-31,Date of Receipt,2014
,0,,,,,,,,NASA,HQ,42,Number of Days Pending,2014
2014-09-24,2014-04-14,2014-06-03,2014-07-24,2014-07-30,2014-08-12,2014-08-18,2014-08-18,2014-09-18,ODNI,ODNI,2014-01-27,Date of Receipt,2014
5,119,84,48,44,35,31,31,9,ODNI,ODNI,173,Number of Days Pending,2014
,2014-08-29,,,,,,,,OMB,OMB,2014-08-28,Date of Receipt,2014
,21,,,,,,,,OMB,OMB,22,Number of Days Pending,2014
,,,,,,,,,PC,FOIA Office,2013-04-04,Date of Receipt,2014
,,,,,,,,,PC,FOIA Office,376,Number of Days Pending,2014
,2014-09-24,,,,,,,,SEC,SEC,2014-09-22,Date of Receipt,2014
